;link.law;actor;date;link.statement
Gesetz zur Verbesserung des Schutzes gegen Nachstellungen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Stalking.html;Deutsche Strafverteidiger e. V.;06. Mai 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/05062016_Stellungnahme_Deutsche_Strafverteidiger_RefE_Stalking.pdf?__blob=publicationFile&v=2
Gesetz zur Verbesserung des Schutzes gegen Nachstellungen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Stalking.html;Stellungnahme Deutscher Juristinnenbund (djb);06. Mai 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/05062016_Stellungnahme_djb_RefE_Stalking.pdf?__blob=publicationFile&v=1
Gesetz zur Verbesserung des Schutzes gegen Nachstellungen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Stalking.html;Stellungnahme Weisser Ring e. V. - Gemeinnütziger Verein zur Unterstützung von Kriminalitätsopfern und zur Verhütung von Straftaten e. V.;06. Mai 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/05062016_Stellungnahme_Weisser_Ring_RefE_Stalking.pdf?__blob=publicationFile&v=1
Gesetz zur Verbesserung des Schutzes gegen Nachstellungen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Stalking.html;Stellungnahme der Berliner Initiative gegen Gewalt an Frauen (BIG e. V.);06. Mai 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/05062016_Stellungnahme_BIG_RefE_Stalking.pdf?__blob=publicationFile&v=1
Gesetz zur Stärkung der nichtfinanziellen Berichterstattung der Unternehmen in ihren Lage- und Konzernlageberichten (CSR-Richtlinie-Umsetzungsgesetz);https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/CSR-Richtlinie-Umsetzungsgesetz.html;Verband der Dienstleistungsinstitute e.V. (V/F/I);04. Mai 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/05042016_Stellungnahme_VFI_RefE_CSR_Umsetzungsgesetz.pdf?__blob=publicationFile&v=5
Gesetz zur Verbesserung des Schutzes gegen Nachstellungen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Stalking.html;Frauen gegen Gewalt e. V. (bff:);04. Mai 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/05042016_Stellungnahme_bff_RefE_Stalking.pdf?__blob=publicationFile&v=1
Gesetz zur Verbesserung des Schutzes gegen Nachstellungen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Stalking.html;Bundesarbeitsgemeinschaft der Freien Wohlfahrtspflege (BAGFW);04. Mai 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/05042016_Stellungnahme_BAGFW_RefE_Stalking.pdf?__blob=publicationFile&v=1
Gesetz zur Verbesserung des Schutzes gegen Nachstellungen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Stalking.html;Deutscher Frauenring e. V. (DFR);04. Mai 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/05042016_Stellungnahme_DFR_RefE_Stalking.pdf?__blob=publicationFile&v=2
Zweites Gesetz zur Stärkung der Verfahrensrechte von Beschuldigten im Strafverfahren;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Staerkung_Verfahrensrechte_von_Beschuldigten_im_Strafverfahren.html;Bund Deutscher Kriminalbeamter;03. Mai 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/05032016_Stellungnamhe_BDK_RefE_Verfahrensrechte_Strafverfahren.pdf?__blob=publicationFile&v=2
Gesetz zur Verbesserung des Schutzes gegen Nachstellungen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Stalking.html;Stellungnahme Zentrale Informationsstelle Autonomer Frauenhäuser (ZIF);03. Mai 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/05032016_Stellungnahme_ZIF_RefE_Stalking.pdf?__blob=publicationFile&v=1
Viertes Gesetz zur Änderung des Gesetzes über die internationale Rechtshilfe in Strafsachen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Viertes_AendG_Internationale_Rechtshilfe_Strafsachen.html;Bundesrechtsanwaltskammer (BRAK);01. Mai 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/05012016_Stellungnahme_BRAK_RefE_AendG_Umsetzung_Europaeische_Ermittlungsanordnung.pdf?__blob=publicationFile&v=1
Gesetz zur Verbesserung der Rechtssicherheit bei Anfechtungen nach der Insolvenzordnung und nach dem Anfechtungsgesetz;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Anfechtungsgesetz.html;Deutscher Richterbund (DRB) und Bund der Richterinnen und Richter, Staatsanwältinnen und Staatsanwälte;01. Mai 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/05012016_Stellungnahme_DRB_Richterbund_RefE_Anfechtungsgesetz.pdf?__blob=publicationFile&v=1
Zweites Gesetz zur Stärkung der Verfahrensrechte von Beschuldigten im Strafverfahren;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Staerkung_Verfahrensrechte_von_Beschuldigten_im_Strafverfahren.html;Bund Deutscher Rechtspfleger;30. Apr 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/04302016_Stellungnahme_BDR_RefE_Verfahrensrechte_Strafverfahren.pdf?__blob=publicationFile&v=2
Zweites Gesetz zur Stärkung der Verfahrensrechte von Beschuldigten im Strafverfahren;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Staerkung_Verfahrensrechte_von_Beschuldigten_im_Strafverfahren.html;Deutschen Vereinigung für Jugendgerichte und Jugendgerichtshilfen e.V.;28. Apr 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/04282016_Stellungnahme_DVJJ_RefE_Verfahrensrechte_Strafverfahren.pdf?__blob=publicationFile&v=2
Gesetz zur Verbesserung des Schutzes gegen Nachstellungen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Stalking.html;Stellungnahme Deutscher Familiengerichtstag e. V. (DFGT);28. Apr 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/04282016_Stellungnahme_DFGT_RefE_Stalking.pdf?__blob=publicationFile&v=1
Gesetz zu dem Strafrechtsübereinkommen des Europarates vom 27. Januar 1999 über Korruption und dem Zusatzprotokoll vom 15. Mai 2003 zum Strafrechtsübereinkommen des Europarates über Korruption;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Vertragsgesetz_Korruption.html;Prof. Dr. Michael Kubiciel - Lehrstuhl für Strafrecht, Strafrechtstheorie und Strafrechtsvergleichung, Universität zu Köln;26. Apr 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/04262016_Stellungnahme_Uni_Koeln_RefE_Strafrechts%C3%BCbereinkommen_Korruption.pdf?__blob=publicationFile&v=3
Stellungnahme von Transparency International Deutschland e.V.;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/04262016_Stellungnahme_Transparency_RefE_Strafrechts%C3%BCbereinkommen_Korruption.html;Transparency International Deutschland e.V.;26. Apr 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/04262016_Stellungnahme_Transparency_RefE_Strafrechts%C3%BCbereinkommen_Korruption.pdf?__blob=publicationFile&v=4
Stellungnahme des Deutschen Gewerkschaftsbund (DGB);https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/04262016_Stellungnahme_DGB_RefE_Strafrechts%C3%BCbereinkommen_Korruption.html;Deutschen Gewerkschaftsbund (DGB);26. Apr 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/04262016_Stellungnahme_DGB_RefE_Strafrechts%C3%BCbereinkommen_Korruption.pdf?__blob=publicationFile&v=3
Gesetz zur Änderung des Strafgesetzbuches – Verbesserung des Schutzes der sexuellen Selbstbestimmung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/SchutzSexuelleSelbstbestimmung.html;Arbeitskreis der Opferhilfen in Deutschland e. v. (ado);26. Apr 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/04262016_Stellungnahme_ado_RefE_Schutz_sexuelle_Selbstbestimmung.pdf?__blob=publicationFile&v=1
Gesetz zur Stärkung der nichtfinanziellen Berichterstattung der Unternehmen in ihren Lage- und Konzernlageberichten (CSR-Richtlinie-Umsetzungsgesetz);https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/CSR-Richtlinie-Umsetzungsgesetz.html;Netzwerk für Unternehmensverantwortung (CorA);25. Apr 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/04252016_Stellungnahme_CorA_RefE_CSR_Umsetzungsgesetz.pdf?__blob=publicationFile&v=4
Gesetz zur Verbesserung des Schutzes gegen Nachstellungen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Stalking.html;Stellungnahme Deutsche Justiz-Gewerkschaft (djg);25. Apr 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/04252016_Stellungnahme_djg_RefE_Stalking.pdf?__blob=publicationFile&v=1
Gesetz zur Stärkung der nichtfinanziellen Berichterstattung der Unternehmen in ihren Lage- und Konzernlageberichten (CSR-Richtlinie-Umsetzungsgesetz);https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/CSR-Richtlinie-Umsetzungsgesetz.html;Germanwatch;22. Apr 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/04222016_Stellungnahme_Germanwatch_RefE_CSR_Umsetzungsgesetz.pdf?__blob=publicationFile&v=4
