actor;law;link.law;date;link.statement;V10b;V4;PH;in.gesamt;;
Bundesverband für körper- und mehrfachbehinderte Menschen e. V. (bvkm.);Gesetz zur Änderung des Strafgesetzbuches – Verbesserung des Schutzes der sexuellen Selbstbestimmung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/SchutzSexuelleSelbstbestimmung.html;17. Feb 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/02172016_Stellungnahme_bvkm_RefE_Schutz_sexuelle_Selbstbestimmung.pdf?__blob=publicationFile&v=1;18/8210;NA;1;1;;
Bundesvereinigung Lebenshilfe e. V.;Gesetz zur Änderung des Strafgesetzbuches – Verbesserung des Schutzes der sexuellen Selbstbestimmung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/SchutzSexuelleSelbstbestimmung.html;18. Feb 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/02182016_Stellungnahme_Lebenshilfe_RefE_Schutz_sexuelle_Selbstbestimmung.pdf?__blob=publicationFile&v=1;18/8210;803;1;1;;
Bundesweiter Koordinierungskreis gegen Menschenhandel e. V. (KOK);Gesetz zur Änderung des Strafgesetzbuches – Verbesserung des Schutzes der sexuellen Selbstbestimmung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/SchutzSexuelleSelbstbestimmung.html;17. Feb 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/02172016_Stellungnahme_KOK_RefE_Schutz_sexuelle_Selbstbestimmung.pdf?__blob=publicationFile&v=2;18/8210;NA;1;1;;
Deutsche Polizeigewerkschaft im DBB (DPolG), Bundesleitung;Gesetz zur Änderung des Strafgesetzbuches – Verbesserung des Schutzes der sexuellen Selbstbestimmung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/SchutzSexuelleSelbstbestimmung.html;12. Feb 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/02122016_Stellungnahme_DPolG_RefE_Schutz_sexuelle_Selbstbestimmung.pdf?__blob=publicationFile&v=1;18/8210;3053;1;1;;
Deutscher Anwaltverein (DAV) - Ausschuss Strafrecht -;Gesetz zur Änderung des Strafgesetzbuches – Verbesserung des Schutzes der sexuellen Selbstbestimmung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/SchutzSexuelleSelbstbestimmung.html;26. Feb 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/02262016_Stellungnahme_DAV_RefE_Schutz_sexuelle_Selbstbestimmung.pdf?__blob=publicationFile&v=1;18/8210;NA;1;1;;
Deutscher Frauenrat e. V.;Gesetz zur Änderung des Strafgesetzbuches – Verbesserung des Schutzes der sexuellen Selbstbestimmung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/SchutzSexuelleSelbstbestimmung.html;19. Feb 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/02192016_Stellungnahme_Deutscher_Frauenrat_RefE_Schutz_sexuelle_Selbstbestimmung.pdf?__blob=publicationFile&v=2;18/8210;857;1;1;;
Deutscher Frauenring e. V. (DFR);Gesetz zur Änderung des Strafgesetzbuches – Verbesserung des Schutzes der sexuellen Selbstbestimmung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/SchutzSexuelleSelbstbestimmung.html;18. Feb 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/02182016_Stellungnahme_DFR_RefE_Schutz_sexuelle_Selbstbestimmung.pdf?__blob=publicationFile&v=1;18/8210;NA;1;1;;
Deutscher Juristinnenbund e. V. (djb);Gesetz zur Änderung des Strafgesetzbuches – Verbesserung des Schutzes der sexuellen Selbstbestimmung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/SchutzSexuelleSelbstbestimmung.html;17. Feb 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/02172016_Stellungnahme_djb_RefE_Schutz_sexuelle_Selbstbestimmung.pdf?__blob=publicationFile&v=1;18/8210;256;1;1;;
Deutscher Richterbund (DRB);Gesetz zur Änderung des Strafgesetzbuches – Verbesserung des Schutzes der sexuellen Selbstbestimmung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/SchutzSexuelleSelbstbestimmung.html;19. Jan 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/01012016_Stellungnahme_DRB_RefE_Schutz_sexuelle_Selbstbestimmung.pdf?__blob=publicationFile&v=2;18/8210;131;1;1;;
Deutsches Institut für Menschenrechte e. V. (DIMR);Gesetz zur Änderung des Strafgesetzbuches – Verbesserung des Schutzes der sexuellen Selbstbestimmung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/SchutzSexuelleSelbstbestimmung.html;19. Feb 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/02192016_Stellungnahme_DIMR_RefE_Schutz_sexuelle_Selbstbestimmung.pdf?__blob=publicationFile&v=1;18/8210;200;1;1;;
Frauenhauskoordinierung e. V.;Gesetz zur Änderung des Strafgesetzbuches – Verbesserung des Schutzes der sexuellen Selbstbestimmung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/SchutzSexuelleSelbstbestimmung.html;18. Feb 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/02182016_Stellungnahme_Frauenhauskoordinierung_RefE_Schutz_sexuelle_Selbstbestimmung.pdf?__blob=publicationFile&v=1;18/8210;3866;1;1;;
Humanistische Union e. V.;Gesetz zur Änderung des Strafgesetzbuches – Verbesserung des Schutzes der sexuellen Selbstbestimmung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/SchutzSexuelleSelbstbestimmung.html;19. Feb 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/02192016_Stellungnahme_Humanistische_Union_RefE_Schutz_sexuelle_Selbstbestimmung.pdf?__blob=publicationFile&v=1;18/8210;3895;1;1;;
Interessenverband für Jungen, Männer & Väter e. V.;Gesetz zur Änderung des Strafgesetzbuches – Verbesserung des Schutzes der sexuellen Selbstbestimmung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/SchutzSexuelleSelbstbestimmung.html;19. Feb 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/02192016_Stellungnahme_Bundesforum_Maenner_RefE_Schutz_sexuelle_Selbstbestimmung.pdf?__blob=publicationFile&v=4;18/8210;NA;1;1;;
Interessenvertretung Selbstbestimmung Leben in Deutschland e. V. (ISL) - Bundesverband;Gesetz zur Änderung des Strafgesetzbuches – Verbesserung des Schutzes der sexuellen Selbstbestimmung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/SchutzSexuelleSelbstbestimmung.html;16. Feb 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/02162016_Stellungnahme_ISL_RefE_Schutz_sexuelle_Selbstbestimmung.pdf?__blob=publicationFile&v=2;18/8210;NA;1;1;;
Katholischer Deutscher Frauenbund e. V. (KDFB);Gesetz zur Änderung des Strafgesetzbuches – Verbesserung des Schutzes der sexuellen Selbstbestimmung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/SchutzSexuelleSelbstbestimmung.html;12. Apr 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/04122016_Stellungnahme_KDFB_RefE_Schutz_sexuelle_Selbstbestimmung.pdf?__blob=publicationFile&v=1;18/8210;3321;1;1;;
Kommissariat der deutschen Bischöfe - Katholisches Büro in Berlin -;Gesetz zur Änderung des Strafgesetzbuches – Verbesserung des Schutzes der sexuellen Selbstbestimmung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/SchutzSexuelleSelbstbestimmung.html;19. Feb 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/02192016_Stellungnahme_Dt_Bisch%C3%B6fe_RefE_Schutz_sexuelle_Selbstbestimmung.pdf?__blob=publicationFile&v=1;18/8210;784;1;1;;
Kriminologische Zentralstelle e. V. (KrimZ);Gesetz zur Änderung des Strafgesetzbuches – Verbesserung des Schutzes der sexuellen Selbstbestimmung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/SchutzSexuelleSelbstbestimmung.html;28. Jan 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/01282016_Stellungnahme_KrimZ_RefE_Schutz_sexuelle_Selbstbestimmung.pdf?__blob=publicationFile&v=1;18/8210;NA;1;1;;
Neue Richtervereinigung e. V. (NRV) - Fachgruppe Strafrecht;Gesetz zur Änderung des Strafgesetzbuches – Verbesserung des Schutzes der sexuellen Selbstbestimmung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/SchutzSexuelleSelbstbestimmung.html;19. Feb 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/02192016_Stellungnahme_NRV_RefE_Schutz_sexuelle_Selbstbestimmung.pdf?__blob=publicationFile&v=1;18/8210;3356;1;1;;
Politische Interessenvertretung behinderter Frauen im Weibernetz e. V.;Gesetz zur Änderung des Strafgesetzbuches – Verbesserung des Schutzes der sexuellen Selbstbestimmung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/SchutzSexuelleSelbstbestimmung.html;19. Feb 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/02192016_Stellungnahme_Weibernetz_RefE_Schutz_sexuelle_Selbstbestimmung.pdf?__blob=publicationFile&v=1;18/8210;NA;1;1;;
Sozialverband Deutschland e. V. (SoVD);Gesetz zur Änderung des Strafgesetzbuches – Verbesserung des Schutzes der sexuellen Selbstbestimmung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/SchutzSexuelleSelbstbestimmung.html;19. Feb 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/02192016_Stellungnahme_SoVD_RefE_Schutz_sexuelle_Selbstbestimmung.pdf?__blob=publicationFile&v=2;18/8210;554;1;1;;
Strafrechtslehrer;Gesetz zur Änderung des Strafgesetzbuches – Verbesserung des Schutzes der sexuellen Selbstbestimmung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/SchutzSexuelleSelbstbestimmung.html;17. Feb 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/02172016_Stellungnahme_Strafrechtslehrer_RefE_Schutz_sexuelle_Selbstbestimmung.pdf?__blob=publicationFile&v=1;18/8210;NA;1;1;;
TERRE DES FEMMES Menschenrechte für die Frau e. V.;Gesetz zur Änderung des Strafgesetzbuches – Verbesserung des Schutzes der sexuellen Selbstbestimmung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/SchutzSexuelleSelbstbestimmung.html;19. Feb 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/02192016_Stellungnahme_Terre_des_Femmes_RefE_Schutz_sexuelle_Selbstbestimmung.pdf?__blob=publicationFile&v=1;18/8210;NA;1;1;;
Weisser Ring e. V. - Bundesvorsitzende -;Gesetz zur Änderung des Strafgesetzbuches – Verbesserung des Schutzes der sexuellen Selbstbestimmung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/SchutzSexuelleSelbstbestimmung.html;19. Feb 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/02192016_Stellungnahme_Weisser_Ring_RefE_Schutz_sexuelle_Selbstbestimmung.pdf?__blob=publicationFile&v=1;18/8210;4086;1;1;;
Bundeskoordinierung spezialisierter Fachberatung gegen sexualisierte Gewalt in Kindheit und Jugend (BKSF);Gesetz zur Änderung des Strafgesetzbuches – Versuchsstrafbarkeit des Cybergroomings;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Cybergrooming.html;29. Mai 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/05292019_Stellungnahme_BKSF_RefE_Cybergrooming.pdf?__blob=publicationFile&v=2;365/19;NA;0;0;;**
Deutsche Akademie für Kinder- und Jugendmedizin e.V.;Gesetz zur Änderung des Strafgesetzbuches – Versuchsstrafbarkeit des Cybergroomings;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Cybergrooming.html;27. Mai 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/05272019_Stellungnahme_DAKJ_RefE_Cybergrooming.pdf?__blob=publicationFile&v=1;365/19;2270;0;0;;**
Deutsche Kinderhilfe - Die ständige Kindervertretung e.V.;Gesetz zur Änderung des Strafgesetzbuches – Versuchsstrafbarkeit des Cybergroomings;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Cybergrooming.html;31. Mai 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/05232019_Stellungnahme_DeutscheKinderhilfe_RefE_Cybergrooming.pdf?__blob=publicationFile&v=1;365/19;NA;0;0;;**
Deutsche Strafverteidiger e.V.;Gesetz zur Änderung des Strafgesetzbuches – Versuchsstrafbarkeit des Cybergroomings;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Cybergrooming.html;31. Mai 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/05312019_Stellungnahme_Dt.Strafverteidiger_RefE_Cybergrooming.pdf?__blob=publicationFile&v=1;365/19;NA;0;0;;**
Deutscher Anwaltverein;Gesetz zur Änderung des Strafgesetzbuches – Versuchsstrafbarkeit des Cybergroomings;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Cybergrooming.html;31. Mai 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/05312019_Stellungnahme_DAV_RefE_Cybergrooming.pdf?__blob=publicationFile&v=1;365/19;NA;0;0;;**
Deutscher Juristinnenbund e.V.;Gesetz zur Änderung des Strafgesetzbuches – Versuchsstrafbarkeit des Cybergroomings;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Cybergrooming.html;29. Mai 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/05292019_Stellungnahme_djb_RefE_Cybergrooming.pdf?__blob=publicationFile&v=1;365/19;256;0;0;;**
Deutscher Richterbund - Bund der Richterinnen und Richter, Staatsanwältinnen und Staatsanwälte;Gesetz zur Änderung des Strafgesetzbuches – Versuchsstrafbarkeit des Cybergroomings;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Cybergrooming.html;31. Mai 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/05312019_Stellungnahme_DRB_RefE_Cybergrooming.pdf?__blob=publicationFile&v=1;365/19;NA;0;0;;**
Freiwillige Selbstkontrolle Multimedia-Diensteanbieter;Gesetz zur Änderung des Strafgesetzbuches – Versuchsstrafbarkeit des Cybergroomings;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Cybergrooming.html;29. Mai 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/05292019_Stellungnahme_FSM_RefE_Cybergrooming.pdf?__blob=publicationFile&v=2;365/19;NA;0;0;;**
Kriminologische Zentralstelle;Gesetz zur Änderung des Strafgesetzbuches – Versuchsstrafbarkeit des Cybergroomings;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Cybergrooming.html;24. Mai 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/05242019_Stellungnahme_KrimZ_RefE_Cybergrooming.pdf?__blob=publicationFile&v=2;365/19;NA;0;0;;**
Deutsche Polizeigewerkschaft (DPolG);Gesetz zur Änderung des Strafgesetzbuches – Wohnungseinbruchdiebstahl;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Aenderung_StBG_Wohnungseinbruchsdiebstahl.html;25. Apr 17;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2017/Downloads/04252017_Stellungnahme_DPolG_RefE_StGB_%C3%84ndG_Wohnungseinbruchdiebstahl.pdf?__blob=publicationFile&v=3;18/12359;3053;0;0;;
Deutscher Anwaltverein;Gesetz zur Änderung des Strafgesetzbuches – Wohnungseinbruchdiebstahl;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Aenderung_StBG_Wohnungseinbruchsdiebstahl.html;01. Mai 17;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2017/Downloads/05012017_Stellungnahme_DAV_RefE_StGB_%C3%84ndG_Wohnungseinbruchdiebstahl.pdf?__blob=publicationFile&v=2;18/12359;NA;0;0;;
Deutscher Richterbund (DRB);Gesetz zur Änderung des Strafgesetzbuches – Wohnungseinbruchdiebstahl;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Aenderung_StBG_Wohnungseinbruchsdiebstahl.html;01. Apr 17;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2017/Downloads/04012017_Stellungnahme_DRB_RefE_StGB_%C3%84ndG_Wohnungseinbruchdiebstahl.pdf?__blob=publicationFile&v=3;18/12359;131;0;0;;
Bund Deutscher Rechtspfleger (BDR);Gesetz zur Änderung des Strafgesetzbuchs – Stärkung des Schutzes von Vollstreckungsbeamten und Rettungskräften;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Schutz_Vollstreckungsbeamte_Rettungskraefte.html;20. Jan 17;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2017/Downloads/01202017_Stellungnahme_BDR_RefE_StGB%20%C3%84ndG%20-%20Vollstreckungsbeamte.pdf?__blob=publicationFile&v=1;18/11161;2690;1;0;;
Bundesrechtsanwaltskammer (BRAK);Gesetz zur Änderung des Strafgesetzbuchs – Stärkung des Schutzes von Vollstreckungsbeamten und Rettungskräften;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Schutz_Vollstreckungsbeamte_Rettungskraefte.html;01. Mrz 17;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2017/Downloads/03012017_Stellungnahme_BRAK_RefE_StGB%20%C3%84ndG%20-%20Vollstreckungsbeamte.pdf?__blob=publicationFile&v=3;18/11161;405;1;0;;
Deutsche Polizeigewerkschaft (DPolG);Gesetz zur Änderung des Strafgesetzbuchs – Stärkung des Schutzes von Vollstreckungsbeamten und Rettungskräften;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Schutz_Vollstreckungsbeamte_Rettungskraefte.html;19. Jan 17;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2017/Downloads/01192017_Stellungnahme_DPolG_RefE_StGB%20%C3%84ndG%20Vollstreckungsbeamte.pdf?__blob=publicationFile&v=1;18/11161;3053;1;0;;
Deutscher Anwaltverein (DAV);Gesetz zur Änderung des Strafgesetzbuchs – Stärkung des Schutzes von Vollstreckungsbeamten und Rettungskräften;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Schutz_Vollstreckungsbeamte_Rettungskraefte.html;01. Jan 17;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2017/Downloads/01012017_Stellungnahme_DAV_RefE_StGB%20%C3%84ndG%20-%20Vollstreckungsbeamte.pdf?__blob=publicationFile&v=1;18/11161;NA;1;0;;
Deutscher Richterbund (DRB);Gesetz zur Änderung des Strafgesetzbuchs – Stärkung des Schutzes von Vollstreckungsbeamten und Rettungskräften;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Schutz_Vollstreckungsbeamte_Rettungskraefte.html;01. Jan 17;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2017/Downloads/01012017_Stellungnahme_DRB_RefE_StGB%20%C3%84ndG%20-%20Vollstreckungsbeamte.pdf?__blob=publicationFile&v=2;18/11161;131;1;0;;
Neue Richtervereinigung (NRV);Gesetz zur Änderung des Strafgesetzbuchs – Stärkung des Schutzes von Vollstreckungsbeamten und Rettungskräften;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Schutz_Vollstreckungsbeamte_Rettungskraefte.html;01. Feb 17;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2017/Downloads/02012017_Stellungnahme_NRV_RefE_StGB%20%C3%84ndG%20-%20Vollstreckungsbeamte.pdf?__blob=publicationFile&v=1;18/11161;3356;1;0;;
Deutsches Rotes Kreuz;Gesetz zur Änderung des Völkerstrafgesetzbuches;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Aenderung_Voelkerstrafgesetzbuch.html;20. Jan 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/01202016_Stellungnahme_DRK_RefE_Aenderung_Voelkerstrafgesetzbuch.pdf?__blob=publicationFile&v=4;18/8621;2230;1;1;;
Bund Deutscher Rechtspfleger (BDR);Gesetz zur Änderung von Vorschriften im Bereich des Internationalen Privat- und Zivilverfahrensrechts;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Internationales_Privat_und_Zivilverfahrensrecht.html;02. Sep 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/09022016_Stellungnahme_BDR_RefE_Internationales_Privat_und_Zivilverfahrensrecht.pdf?__blob=publicationFile&v=1;18/10714;2690;0;0;;
Bundesnotarkammer (BNotK);Gesetz zur Änderung von Vorschriften im Bereich des Internationalen Privat- und Zivilverfahrensrechts;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Internationales_Privat_und_Zivilverfahrensrecht.html;19. Sep 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/09192016_Stellungnahme_BNotK_RefE_Internationales_Privat_und_Zivilverfahrensrecht.pdf?__blob=publicationFile&v=1;18/10714;504;0;0;;
Bundesrechtsanwaltskammer (BRAK);Gesetz zur Änderung von Vorschriften im Bereich des Internationalen Privat- und Zivilverfahrensrechts;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Internationales_Privat_und_Zivilverfahrensrecht.html;01. Sep 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/09012016_Stellungnahme_BRAK_RefE_Internationales_Privat_und_Zivilverfahrensrecht.pdf?__blob=publicationFile&v=1;18/10714;405;0;0;;
Bundesverband der Deutschen Industrie (BDI) (der Veröffentlichung wurde widersprochen);Gesetz zur Änderung von Vorschriften im Bereich des Internationalen Privat- und Zivilverfahrensrechts;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Internationales_Privat_und_Zivilverfahrensrecht.html;02. Sep 16;NA;18/10714;41;0;0;;
Deutsch-Amerikanische Juristen-Vereinigung e. V. (DAJV);Gesetz zur Änderung von Vorschriften im Bereich des Internationalen Privat- und Zivilverfahrensrechts;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Internationales_Privat_und_Zivilverfahrensrecht.html;14. Okt 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/10142016_Stellungnahme_DAJV_RefE_Internationales_Privat_und_Zivilverfahrensrecht.pdf?__blob=publicationFile&v=1;18/10714;NA;0;0;;
Deutscher Anwaltverein (DAV) durch den Ausschuss Zivilverfahrensrecht;Gesetz zur Änderung von Vorschriften im Bereich des Internationalen Privat- und Zivilverfahrensrechts;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Internationales_Privat_und_Zivilverfahrensrecht.html;02. Sep 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/09022016_Stellungnahme_DAV_RefE_Internationales_Privat_und_Zivilverfahrensrecht.pdf?__blob=publicationFile&v=1;18/10714;NA;0;0;;
Prof. Dr. Dr. h.c. mult. Jürgen Basedow, LL.M. (Harvard Univ.), Direktor Max-Planck-Institut für ausländisches und internationales Privatrecht;Gesetz zur Änderung von Vorschriften im Bereich des Internationalen Privat- und Zivilverfahrensrechts;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Internationales_Privat_und_Zivilverfahrensrecht.html;02. Aug 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/08022016_Stellungnahme_Prof_Basedow_RefE_Internationales_Privat_und_Zivilverfahrensrecht.pdf?__blob=publicationFile&v=1;18/10714;NA;0;0;;
ADAC;Gesetz zur Änderung von Vorschriften über die außergerichtliche Streitbeilegung in Verbrauchersachen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Streitbeilegung_Verbrauchersachen.html;01. Feb 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/02012019_Stellungnahme_ADAC_au%C3%9Fergerichtl-Streitbeilegung-Verbrauchersachen.pdf?__blob=publicationFile&v=4;19/10348;NA;1;0;;
Bund der Versicherten;Gesetz zur Änderung von Vorschriften über die außergerichtliche Streitbeilegung in Verbrauchersachen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Streitbeilegung_Verbrauchersachen.html;14. Feb 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/02142019_Stellungnahme_Bund-der-Versicherten_au%C3%9Fergerichtl-Streitbeilegung-Verbrauchersachen.pdf?__blob=publicationFile&v=2;19/10348;1728;1;0;;
Bund der VersichertenBundes-Arbeitsgemeinschaft für Familien-Mediation e.V.;Gesetz zur Änderung von Vorschriften über die außergerichtliche Streitbeilegung in Verbrauchersachen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Streitbeilegung_Verbrauchersachen.html;14. Feb 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/02142019_Stellungnahme_BAFM_au%C3%9Fergerichtl-Streitbeilegung-Verbrauchersachen.pdf?__blob=publicationFile&v=2;19/10348;NA;1;0;;
Bundesarchitektenkammer;Gesetz zur Änderung von Vorschriften über die außergerichtliche Streitbeilegung in Verbrauchersachen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Streitbeilegung_Verbrauchersachen.html;14. Feb 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/02142019_Stellungnahme_Bundesarchitektenkammer_au%C3%9Fergerichtl-Streitbeilegung-Verbrauchersachen.pdf?__blob=publicationFile&v=2;19/10348;1845;1;0;;
