actor;law;link.law;date;link.statement;V10b;V4;PH
Patentanwaltskammer;Gesetz zur Umsetzung der Berufsanerkennungsrichtlinie und zur Änderung weiterer Vorschriften im Bereich der rechtsberatenden Berufe;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Berufsanerkennungsrichtlinie.html;22. Jun 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/06222016_Stellungnahme_PAK_RefE_Berufsanerkennungsrichtlinie.pdf?__blob=publicationFile&v=3;NA;NA;
Patentanwaltskammer;Gesetz zur Neuordnung des Rechts der Syndikusanwälte;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Neuordnung_Syndikusanwaelterecht.html;15. Mai 15;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2015/Downloads/05152015_Stellungnahme_PAK_RefE_Neuordnung_Syndikusanwaelterecht.pdf?__blob=publicationFile&v=1;18/5201;NA;
Patentanwaltskammer;Gesetz zur Umsetzung der Richtlinie (EU) 2016/943 zum Schutz von Geschäftsgeheimnissen vor rechtswidrigem Erwerb sowie rechtswidriger Nutzung und Offenlegung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/GeschGehG.html;18. Mai 18;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2018/Downloads/05182018_Stellungnahme_patentanwaltskammer_GeschGehG.pdf?__blob=publicationFile&v=1;NA;NA;
Patentanwaltskammer;Gesetz zur Umsetzung der Berufsanerkennungsrichtlinie und zur Änderung weiterer Vorschriften im Bereich der rechtsberatenden Berufe;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Berufsanerkennungsrichtlinie.html;30. Jun 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/06302016_Stellungnahme_PAK_2_RefE_Berufsanerkennungsrichtlinie.pdf?__blob=publicationFile&v=3;NA;NA;
Patentanwaltskammer;Gesetz zur Umsetzung der Richtlinie (EU) 2016/943 zum Schutz von Geschäftsgeheimnissen vor rechtswidrigem Erwerb sowie rechtswidriger Nutzung und Offenlegung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/GeschGehG.html;18. Mai 18;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2018/Downloads/05182018_Stellungnahme_patentanwaltskammer_GeschGehG.pdf?__blob=publicationFile&v=1;NA;NA;
Patentanwaltskammer (PAK);Gesetz zu dem Übereinkommen vom 19. Februar 2013 über ein Einheitliches Patentgericht;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Uebereinkommen_Einheitliches_Patentgericht.html;22. Mrz 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/03222016_Stellungnahme_PAK_RefE_Uebereinkommen_Einheitliches_Patentgericht.pdf?__blob=publicationFile&v=1;17/5125;NA;
Patentanwaltskammer (PAK);Gesetz zur Anpassung patentrechtlicher Vorschriften auf Grund der europäischen Patentreform;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Anpassung_patentrechtlicher_Vorschriften_nach_euopaeischer_Patentreform.html;22. Mrz 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/03222016_Stellungnahme_PAK_RefE_Anpassung_patentrechtlicher_Vorschriften_nach_europaeischer_Patentreform.pdf?__blob=publicationFile&v=1;NA;NA;
PFAD Bundesverband der Pflege- und Adoptivfamilien e.V.;Gesetz zur Förderung der Freizügigkeit von EU-Bürgerinnen und -Bürgern sowie zur Neuregelung verschiedener Aspekte des Internationalen Adoptionsrechts;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Freizuegigkeit_EU.html;06. Jul 18;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2018/Downloads/07062018_PFAD_Freizuegigkeit.pdf?__blob=publicationFile&v=1;NA;NA;
Philipps-Universität Marburg, Prof. Dr. Dr. h. c. Georg Freund, Fachbereich Rechtswissenschaften;Gesetz zur Umsetzung von Empfehlungen des NSU-Untersuchungsausschusses des Deutschen Bundestages;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Umsetzung_Empfehlung_NSU_Untersuchungsausschuss_BT.html;16. Jul 14;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2014/Downloads/07162014_Stellungnahme_Uni_Marburg_RefE_Umsetzung_Empfehlung_NSU_Untersuchungsausschuss_BT.pdf?__blob=publicationFile&v=2;NA;NA;
Politische Interessenvertretung behinderter Frauen im Weibernetz e. V.;Gesetz zur Änderung des Strafgesetzbuches – Verbesserung des Schutzes der sexuellen Selbstbestimmung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/SchutzSexuelleSelbstbestimmung.html;19. Feb 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/02192016_Stellungnahme_Weibernetz_RefE_Schutz_sexuelle_Selbstbestimmung.pdf?__blob=publicationFile&v=1;NA;NA;
