actor;law;link.law;date;link.statement;V10b;V4;PH
Aareal Bank AG (der Veröffentlichung wurde widersprochen);Gesetz zur Umsetzung der Richtlinie über die Vergleichbarkeit von Zahlungskontoentgelten, den Wechsel von Zahlungskonten sowie den Zugang zu Zahlungskonten mit grundlegenden Funktionen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Zahlungskonten.html;02. Okt 15;NA;18/7204;5260;1
Abschlussprüferaufsichtskommission (APAK);Gesetz zur Umsetzung der prüfungsbezogenen Regelungen der Richtlinie 2014/56/EU sowie zur Ausführung der entsprechenden Vorgaben der Verordnung (EU) Nr. 537/2014 im Hinblick auf die Abschlussprüfung bei Unternehmen von öffentlichem Interesse (Abschlussprüfungsreformgesetz – AReG);https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Abschlusspruefungsreformgesetz.html;10. Jun 15;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2015/Downloads/06102015_Stellungnahme_APAK_RefE_AReG.pdf?__blob=publicationFile&v=1;18/7219;1935;1
ADAC;Gesetz zur Änderung von Vorschriften über die außergerichtliche Streitbeilegung in Verbrauchersachen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Streitbeilegung_Verbrauchersachen.html;01. Feb 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/02012019_Stellungnahme_ADAC_au%C3%9Fergerichtl-Streitbeilegung-Verbrauchersachen.pdf?__blob=publicationFile&v=4;16/444;NA;1
ADAC;Gesetz zur Durchführung der Verordnung (EU) Nr. 1215/2012 sowie zur Änderung sonstiger Vorschriften;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Bruessel_Ia_VO.html;23. Sep 13;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2013/Downloads/09232013_Stellungnahme_ADAC_RefE_Bruessel_IA_Verordnung.pdf?__blob=publicationFile&v=1;NA;NA;
ADAC;Gesetz zur Einführung eines Anspruchs auf Hinterbliebenengeld;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Hinterbliebenengeld.html;16. Jan 17;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2017/Downloads/01162017_Stellungnahme_ADAC_RefE_Hinterbliebenengeld.pdf?__blob=publicationFile&v=1;NA;NA;
ADAC, Juristische Zentrale Leiterin Verbraucherschutz Recht Silvia Schattenkirchner;Verbraucherstreitbeilegungsgesetz;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Verbraucherstreitbeilegungsgesetz_ADR_Richtlinie.html;23. Jan 15;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2015/Downloads/01232015_Stellungnahme_ADAC_RefE_Streitbeilegungsgesetz_ADR_Richtlinie.pdf?__blob=publicationFile&v=1;NA;NA;
AfW - Bundesverband Finanzdienstleistung e.V.;Gesetz zur Umsetzung der Wohnimmobilienkreditrichtlinie und zur Änderung handelsrechtlicher Vorschriften;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Umsetzung_Wohnimmobilienkreditrichtlinie.html;13. Feb 15;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2015/Downloads/02132015_Stellungnahme_AfW_REfE_Umsetzung_Wohnimmobilienkreditrichtlinie.pdf?__blob=publicationFile&v=1;18/5922;764;
AG Verleih (Verband unabhängiger Filmverleiher e.V.);Gesetz zur Angleichung des Urheberrechts an die aktuellen Erfordernisse der Wissensgesellschaft (UrhWissG);https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/UrhWissG.html;02. Mrz 17;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2017/Downloads/03022017_Stellungnahme_AG_Verleih_RefE_UrhWissG.pdf?__blob=publicationFile&v=4;NA;NA;
AIA Aktiengesellschaft;Gesetz zur Reform des Bauvertragsrechts und zur Änderung der kaufrechtlichen Mängelhaftung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Bauvertragsrecht.html;11. Nov 15;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2015/Downloads/11112015_Stellungnahme_AIA_RefE_Bauvertragsrecht.pdf?__blob=publicationFile&v=1;NA;NA;
Airbus Defence and Space GmbH;Gesetz zur verbesserten Durchsetzung des Anspruchs der Urheber und ausübenden Künstler auf angemessene Vergütung und zur Regelung von Fragen der Verlegerbeteiligung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Urhebervertragsrecht.html;07. Jan 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/01072016_Stellungnahme_Airbus_RefE_Urhebervertragsrecht.pdf?__blob=publicationFile&v=1;18/8625;NA;
AKTION PSYCHISCH KRANKE - Vereinigung zur Reform der Versorgung psychisch Kranker e.V.;Gesetz zur Stärkung der Rechte von Betroffenen bei Fixierungen im Rahmen von Freiheitsentziehungen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Fixierungen_Freiheitsenziehung.html;01. Mrz 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/03012019_Stellungnahme_Aktion_Psychisch_Kranke_Fixierungen.pdf?__blob=publicationFile&v=2;NA;NA;
AKTION PSYHISCH KRANKE (APK) - Vereinigung zur Reform der Versorgung psychisch Kranker e. V.;Gesetz zur Änderung der materiellen Zulässigkeitsvoraussetzungen von ärztlichen Zwangsmaßnahmen und zur Stärkung des Selbstbestimmungsrechts von Betreuten;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Gesetz_zur_Aenderung_materieller_Zulaessigkeitsvoraussetzungen_aerztlicher_Zwangsmassnahmen.html;02. Jan 17;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2017/Downloads/01022017_Stellungnahme_APK_RefE_Gesetz_zur_Aenderung_materieller_Zulaessigkeitsvoraussetzungen_aerztlicher_Zwangsmassnahmen.pdf?__blob=publicationFile&v=1;NA;NA;
Aktionsbündniss „Urheberrecht für Bildung und Wissenschaft“;EU-Urheberrechtsreform („2. Copyright-Package“);https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/EU-Urheberrechtsreform_2Copyright-Package.html;03. Okt 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/10042016_Stellungnahme_Aktionsbuendniss_Urheberrecht_fuer_Bildung_und_Wissenschaft_EU-Urheberrechtsreform.pdf?__blob=publicationFile&v=2;15/3169;NA;
Aktionsbündnisses Urheberrecht für Bildung und Wissenschaft;Gesetz zur Angleichung des Urheberrechts an die aktuellen Erfordernisse der Wissensgesellschaft (UrhWissG);https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/UrhWissG.html;24. Feb 17;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2017/Downloads/02102017_Stellungnahme_AB_RefE_UrhWissG.pdf?__blob=publicationFile&v=2;NA;NA;
Aktivist der Gemeinwohl-Ökonomie (GWÖ);Gesetz zur Stärkung der nichtfinanziellen Berichterstattung der Unternehmen in ihren Lage- und Konzernlageberichten (CSR-Richtlinie-Umsetzungsgesetz);https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/CSR-Richtlinie-Umsetzungsgesetz.html;11. Apr 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/04112016_Stellunganhme_ChristianRuether_RefE_CSR_Umsetzungsgesetz.pdf?__blob=publicationFile&v=4;NA;NA;
"Aktivverbund e. V., Renate Schusch und Angelika Oetken, beide ""AG Gesundheit / Therapie"" des Betroffenenbeirats des EHS-FSM";Gesetz zur Änderung des Sachverständigenrechts und zur weiteren Änderung des Gesetzes über das Verfahren in Familiensachen und in den Angelegenheiten der freiwilligen Gerichtsbarkeit;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Aenderung_Sachverstaendigenrechts_Aenderung_Gesetzes_Verfahren_Familiensachen_sowie_freiwilligen_Gerichtsbarkeit.html;17. Feb 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/02172016_Stellungnahme_Aktivverbund_RefE_FamFG_AendG.pdf?__blob=publicationFile&v=3;18/6985;NA;
Albert-Ludwigs-Universität Freiburg;Gesetz zur Angleichung des Urheberrechts an die aktuellen Erfordernisse der Wissensgesellschaft (UrhWissG);https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/UrhWissG.html;27. Feb 17;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2017/Downloads/02222017_Stellungnahme_uni_freiburg_RefE_UrhWissG.pdf?__blob=publicationFile&v=2;NA;NA;
Allgemeiner Deutscher Automobil-Club e.V. (ADAC);Drittes Gesetz zur Änderung reiserechtlicher Vorschriften – Umsetzung der neuen EU-Pauschalreiserichtlinie;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Drittes_Gesetz_Pauschalreiserichtlinie.html;29. Jul 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/07292016_Stellungnahme_ADAC_RefE_Reiserecht.pdf?__blob=publicationFile&v=1;15/3442;365;
Allgemeiner Patienten-Verband e. V.;Gesetz zur Änderung des Sachverständigenrechts und zur weiteren Änderung des Gesetzes über das Verfahren in Familiensachen und in den Angelegenheiten der freiwilligen Gerichtsbarkeit;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Aenderung_Sachverstaendigenrechts_Aenderung_Gesetzes_Verfahren_Familiensachen_sowie_freiwilligen_Gerichtsbarkeit.html;03. Aug 15;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2015/Downloads/08032015_Stellungnahme_Patientenverband_RefE_FamFG_AendG.pdf?__blob=publicationFile&v=1;18/6985;2593;
Allianz der deutschen Wissenschaftsorganisationen;Gesetz zur Angleichung des Urheberrechts an die aktuellen Erfordernisse der Wissensgesellschaft (UrhWissG);https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/UrhWissG.html;27. Feb 17;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2017/Downloads/02222017_Stellungnahme_allianz_RefE_UrhWissG.pdf?__blob=publicationFile&v=2;NA;NA;
Allianz der Wissenschaftsorganisationen;EU-Urheberrechtsreform („2. Copyright-Package“);https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/EU-Urheberrechtsreform_2Copyright-Package.html;28. Okt 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/10282016_Stellungnahme_Allianz_EU-Urheberrechtsreform.pdf?__blob=publicationFile&v=2;15/3169;NA;
Allianz deutscher Designer (AGD);Gesetz zur Angleichung des Urheberrechts an die aktuellen Erfordernisse der Wissensgesellschaft (UrhWissG);https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/UrhWissG.html;23. Feb 17;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2017/Downloads/02232017_Stellungnahme_AGD_RefE_UrhWissG.pdf?__blob=publicationFile&v=1;NA;2562;
Allianz Deutscher Produzenten – Film & Fernsehen e. V.;EU-Urheberrechtsreform („2. Copyright-Package“);https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/EU-Urheberrechtsreform_2Copyright-Package.html;01. Nov 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/11012016_Stellungnahme_PA_EU-Urheberrechtsreform.pdf?__blob=publicationFile&v=3;15/3169;1073;
Allianz für Sicherheit in der Wirtschaft;Gesetz zur Umsetzung der Richtlinie (EU) 2016/943 zum Schutz von Geschäftsgeheimnissen vor rechtswidrigem Erwerb sowie rechtswidriger Nutzung und Offenlegung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/GeschGehG.html;04. Mai 18;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2018/Downloads/05042018_Stellungnahme_ASW_GeschGehG.pdf?__blob=publicationFile&v=2;NA;NA;
Allianz selbständiger Reiseunternehmen – Bundesverband e.V. (asr);Drittes Gesetz zur Änderung reiserechtlicher Vorschriften – Umsetzung der neuen EU-Pauschalreiserichtlinie;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Drittes_Gesetz_Pauschalreiserichtlinie.html;29. Jul 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/07292016_Stellungnahme_asr_RefE_Reiserecht.pdf?__blob=publicationFile&v=1;15/3442;NA;
Amadeu Antonio Stiftung;Gesetz zur Verbesserung der Rechtsdurchsetzung in sozialen Netzwerken (Netzwerkdurchsetzungsgesetz – NetzDG);https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/NetzDG.html;29. Mrz 17;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2017/Downloads/03292017_Stellungnahme_AAS_RefE_NetzDG.pdf?__blob=publicationFile&v=3;NA;5271;
American Chamber of Commerce in Germany e.V.;Vorschlag zur Änderung der Richtlinie 2013/34/EU im Hinblick auf die Offenlegung von Ertragsteuerinformationen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Vorschlag_Richtlinie_EU_Offenlegung_Ertragssteuerinformationen.html;13. Mai 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/05132016_Stellungnahme_AmCham_RefE_Ertragssteuerinformation.pdf?__blob=publicationFile&v=2;NA;780;
American Chamber of Commerce in Germany e.V.;Gesetz zur Stärkung der nichtfinanziellen Berichterstattung der Unternehmen in ihren Lage- und Konzernlageberichten (CSR-Richtlinie-Umsetzungsgesetz);https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/CSR-Richtlinie-Umsetzungsgesetz.html;12. Apr 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/04122016_Stellungnahme_AmChamGermany_RefE_CSR_Umsetzungsgesetz.pdf?__blob=publicationFile&v=4;NA;780;
American Express;Gesetz zur Umsetzung der Zweiten Zahlungsdiensterichtlinie;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Umsetzung_zivilrechtlicher_Teil_zweite_Zahlungsdiensterichtlinie.html;01. Jan 17;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2017/Downloads/01012017_Stellungnahme_American_Express_RefE_Umsetzung_zivilrechtlicher_Teil_zweite_Zahlungsdiensterichtlinie.pdf?__blob=publicationFile&v=2;NA;NA;
Amnesty International;Gesetz zur Stärkung der nichtfinanziellen Berichterstattung der Unternehmen in ihren Lage- und Konzernlageberichten (CSR-Richtlinie-Umsetzungsgesetz);https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/CSR-Richtlinie-Umsetzungsgesetz.html;15. Apr 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/04152016_Stellungnahme_Amnesty_International_RefE_CSR_Umsetzungsgesetz.pdf?__blob=publicationFile&v=3;NA;377;
Amtsrichterverband;Gesetz zur Stärkung der Rechte von Betroffenen bei Fixierungen im Rahmen von Freiheitsentziehungen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Fixierungen_Freiheitsenziehung.html;01. Mrz 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/03012019_Stellungnahme_ARV_Fixierungen.pdf?__blob=publicationFile&v=2;NA;NA;
Amtsrichterverband e. V. (ARV);Gesetz zur Änderung des Sachverständigenrechts und zur weiteren Änderung des Gesetzes über das Verfahren in Familiensachen und in den Angelegenheiten der freiwilligen Gerichtsbarkeit;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Aenderung_Sachverstaendigenrechts_Aenderung_Gesetzes_Verfahren_Familiensachen_sowie_freiwilligen_Gerichtsbarkeit.html;24. Jul 15;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2015/Downloads/07242015_Stellungnahme_ARV_RefE_FamFG_AendG.pdf?__blob=publicationFile&v=3;18/6985;NA;
Anders lesen und lernen e.V.!;Gesetz zur Umsetzung der Marrakesch-Richtlinie über einen verbesserten Zugang zu urheberrechtlich geschützten Werken zugunsten von Menschen mit einer Seh- oder Lesebehinderung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Marrakesch-Richtlinie.html;12. Mai 18;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2018/Downloads/051218_Marakesch_Stellungnahme_Anders_lesen.pdf?__blob=publicationFile&v=1;NA;NA;
Andreas Bühler - Rechtsanwalt;Gesetz zur Dämpfung des Mietanstiegs auf angespannten Wohnungsmärkten und zur Stärkung des Bestellerprinzips bei der Wohnungsvermittlung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Daempfung_Mietanstieg_Wohnungsmaerkte_Staerkung_Bestellerprinzip_Wohnungsvermittlung.html;23. Mai 14;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2014/Downloads/05232014_Stellungnahme_B%C3%BChler_RefE_MietNovG.pdf?__blob=publicationFile&v=1;NA;NA;
Antidiskriminierungsnetzwerk Niedersachsen - Koordinierung des Netzwerkes durch IBIS e. V. (ADNN);Gesetz zur Umsetzung von Empfehlungen des NSU-Untersuchungsausschusses des Deutschen Bundestages;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Umsetzung_Empfehlung_NSU_Untersuchungsausschuss_BT.html;01. Jul 14;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2014/Downloads/07012014_Stellungnahme_ADNN_RefE_Umsetzung_Empfehlung_NSU_Untersuchungsausschuss_BT.pdf?__blob=publicationFile&v=1;NA;NA;
AOK-Bundesverband, Abteilung Politik;Gesetz zur Bekämpfung von Korruption im Gesundheitswesen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Bekaempfung_Korruption_Gesundheitswesen.html;26. Mrz 15;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2015/Downloads/03262015_Stellungnahme_AOK_RefE_Bekaempfung_Korruption_Gesundheitswesen.pdf?__blob=publicationFile&v=1;18/6446;NA;
Arbeitsgemeinschaft Berufsständischer Versorgungseinrichtungen e. V. (ABV);Gesetz zur Neuordnung des Rechts der Syndikusanwälte;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Neuordnung_Syndikusanwaelterecht.html;15. Mai 15;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2015/Downloads/05152015_Stellungnahme_ABV_RefE_Neuordnung_Syndikusanwaelterecht.pdf?__blob=publicationFile&v=1;18/5201;NA;
Arbeitsgemeinschaft der Kanzlerinnen und Kanzler der Fachhochschulen in NRW;EU-Urheberrechtsreform („2. Copyright-Package“);https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/EU-Urheberrechtsreform_2Copyright-Package.html;25. Okt 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/10252016_Stellungnahme_LRK_KAG_EU-Urheberrechtsreform.pdf?__blob=publicationFile&v=2;15/3169;NA;
Arbeitsgemeinschaft der Medienzentren an Hochschulen e.V. (AMH);Gesetz zur Angleichung des Urheberrechts an die aktuellen Erfordernisse der Wissensgesellschaft (UrhWissG);https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/UrhWissG.html;24. Feb 17;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2017/Downloads/02102017_Stellungnahme_AMH_RefE_UrhWissG.pdf?__blob=publicationFile&v=2;NA;NA;
Arbeitsgemeinschaft der öffentlich-rechtlichen Rundfunkanstalten (ARD), Bundesverband Deutscher Zeitungsverleger (BDZV), Deutscher Journalisten-Verband (DJV), Deutscher Presserat, Verband Deutscher Zeitschriftenverleger (VDZ), Vereinte Dienstleistungsgewerkschaft (dju in ver.di), Verband Privater Rundfunk und Telemedien (VPRT), Zweites Deusches Fernsehen (ZDF);Gesetz zur Einführung einer Speicherpflicht und einer Höchstspeicherfrist für Verkehrsdaten;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Einfuehrung_Speicherfrist_Hoechstspeicherfrist_Verkehrsdaten.html;07. Sep 15;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2015/Downloads/09072015_Stellungnahme_ARD_BDZV_DJV_Deutscher_Presserat_VDZ_verdi_VPRT_ZDF_RefE_Einfuehrung_Speicherfrist_Hoechstpspeicherfrist_Verkehrsdaten.pdf?__blob=publicationFile&v=2;18/5088;1072;
"Arbeitsgemeinschaft der öffentlich-rechtlichen Rundfunkanstalten Deutschlands (ARD) und Zweites Deutsches Fernsehen; Anstalt des öffentlichen Rechts (ZDF)";Gesetz zur Umsetzung der Richtlinie 2014/26/EU über die kollektive Wahrnehmung von Urheber- und verwandten Schutzrechten und die Vergabe von Mehrgebietslizenzen für Rechte an Musikwerken für die Online-Nutzung im Binnenmarkt sowie zur Änderung des Verfahrens betreffend die Geräte- und Speichermedienvergütung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/VG_Richtlinie_Umsetzungsgesetz.html;14. Aug 15;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2015/Downloads/08142015_Stellungnahme_ARD_ZDF_RefE_VG_Richtlinie_Umsetzungsgesetz.pdf?__blob=publicationFile&v=1;18/7223;NA;
Arbeitsgemeinschaft Deutscher Waldbesitzerverbände e. V. (AGDW);Stellungnahme der Arbeitsgemeinschaft Deutscher Waldbesitzerverbände e. V. (AGDW);https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2015/Downloads/17122015_Stellungnahme_AGDW_DiskE_effektivere_und_praxistauglichere_Ausgestaltung_Strafverfahren.html;17. Dez 15;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2015/Downloads/17122015_Stellungnahme_AGDW_DiskE_effektivere_und_praxistauglichere_Ausgestaltung_Strafverfahren.pdf?__blob=publicationFile&v=10;17/5263;647;
Arbeitsgemeinschaft Dokumentarfilm (AG DOK);Gesetz zur verbesserten Durchsetzung des Anspruchs der Urheber und ausübenden Künstler auf angemessene Vergütung und zur Regelung von Fragen der Verlegerbeteiligung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Urhebervertragsrecht.html;08. Jan 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/01082016_Stellungnahme_AGDOK_RefE_Urhebervertragsrecht.pdf?__blob=publicationFile&v=1;18/8625;5827;
Arbeitsgemeinschaft Dokumentarfilm e. V. (AG DOK);Gesetz zur Umsetzung der Richtlinie 2014/26/EU über die kollektive Wahrnehmung von Urheber- und verwandten Schutzrechten und die Vergabe von Mehrgebietslizenzen für Rechte an Musikwerken für die Online-Nutzung im Binnenmarkt sowie zur Änderung des Verfahrens betreffend die Geräte- und Speichermedienvergütung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/VG_Richtlinie_Umsetzungsgesetz.html;15. Aug 15;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2015/Downloads/08152015_Stellungnahme_AG_DOK_RefE_VG_Richtlinie_Umsetzungsgesetz.pdf?__blob=publicationFile&v=1;18/7223;5827;
Arbeitsgemeinschaft Dokumentarfilm e.V. (AG DOK);EU-Urheberrechtsreform („2. Copyright-Package“);https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/EU-Urheberrechtsreform_2Copyright-Package.html;31. Okt 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/10312016_Stellungnahme_AGDOK_EU-Urheberrechtsreform.pdf?__blob=publicationFile&v=2;15/3169;5827;
Arbeitsgemeinschaft für betriebliche Altersversorgung e.V. (aba);Drittes Gesetz zur Änderung der Insolvenzordnung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Drittes_Gesetz_zur_Aenderung_der_Insolvenzordnung.html;04. Aug 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/08042016_Stellungnahme_ABA_RefE_InsO.pdf?__blob=publicationFile&v=2;16/126;1630;
Arbeitsgemeinschaft für betriebliche Altersversorgung e.V. (aba);Gesetz zur Umsetzung der Wohnimmobilienkreditrichtlinie und zur Änderung handelsrechtlicher Vorschriften;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Umsetzung_Wohnimmobilienkreditrichtlinie.html;13. Feb 15;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2015/Downloads/02132015_Stellungnahme_aba_RefE_Umsetzung_Wohnimmobilienkreditrichtlinie.pdf?__blob=publicationFile&v=1;18/5922;1630;
Arbeitsgemeinschaft für wirtschaftliche Verwaltung e.V. (AWV);Gesetz zur Verbesserung der zivilrechtlichen Durchsetzung von verbraucherschützenden Vorschriften des Datenschutzrechts;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Verbesserung_zivilrechtlich_verbraucherschutz_Vorschriften_Datenschutzrecht.html;05. Aug 14;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2014/Downloads/08052015_Stellungnahme_AWV_RefE_UKlaG.pdf?__blob=publicationFile&v=1;18/4631;2605;
Arbeitsgemeinschaft Interessenvertretung Alleinerziehende (AGIA);Gesetzes zur Änderung des Unterhaltsrechts und des Unterhaltsverfahrensrechts sowie zur Änderung der Zivilprozessordnung und kostenrechtlicher Vorschriften   ;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Aenderung_Unterhaltsverfahrensrecht_Mindestunterhalt_saechliches-Existenminimum.html;09. Jul 15;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2015/Downloads/07092015_Stellungnahme_AGIA_RefE_GE_Aenderung_Unterhaltsrecht.pdf?__blob=publicationFile&v=1;NA;NA;
Arbeitsgemeinschaft kommunale und kirchliche Altersversorgung (AKA) e.V.;Drittes Gesetz zur Änderung der Insolvenzordnung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Drittes_Gesetz_zur_Aenderung_der_Insolvenzordnung.html;02. Aug 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/08022016_Stellungnahme_AKA_RefE_InsO.pdf?__blob=publicationFile&v=2;16/126;1631;
Arbeitsgemeinschaft Mittelstand;Gesetz zur Einführung einer zivilprozessualen Musterfeststellungsklage;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Musterfeststellungsklage.html;23. Mrz 18;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2018/Downloads/03232018_Stellungnahme_mittelstandsverbund_MFK.pdf?__blob=publicationFile&v=1;NA;NA;
